2024.11.19 19:07:51 INFO  Started: Metals version 1.4.1 in folders 'C:\Users\somes\OneDrive\Documents\GitHub\scala' for client Visual Studio Code 1.95.3.
2024.11.19 19:07:53 WARN  Flyway upgrade recommended: H2 2.3.232 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.224.
2024.11.19 19:07:55 INFO  no build target found for C:\Users\somes\OneDrive\Documents\GitHub\scala\HelloWorld.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.19 19:07:56 INFO  Running List(C:\Program Files\scala-cli-x86_64-pc-win32\scala-cli.EXE, setup-ide, C:\Users\somes\OneDrive\Documents\GitHub\scala)
2024.11.19 19:07:57 INFO  Attempting to connect to the build server...
2024.11.19 19:07:57 INFO  Running BSP server List(C:\Program Files\scala-cli-x86_64-pc-win32\scala-cli.EXE, bsp, --json-options, C:\Users\somes\OneDrive\Documents\GitHub\scala\.scala-build\ide-options-v2.json, --json-launcher-options, C:\Users\somes\OneDrive\Documents\GitHub\scala\.scala-build\ide-launcher-options.json, --envs-file, C:\Users\somes\OneDrive\Documents\GitHub\scala\.scala-build\ide-envs.json, C:\Users\somes\OneDrive\Documents\GitHub\scala)
2024.11.19 19:07:59 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\Users\somes\OneDrive\Documents\GitHub\scala\.metals\bsp.trace.json or C:\Users\somes\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-frontend_2.12/2.0.3/bloop-frontend_2.12-2.0.3.pom
2024.11.19 19:07:59 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-frontend_2.12/2.0.3/bloop-frontend_2.12-2.0.3.pom
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.12/2.0.3/bloop-config_2.12-2.0.3.pom
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-backend_2.12/2.0.3/bloop-backend_2.12-2.0.3.pom
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/scala-debug-adapter_2.12/4.2.1/scala-debug-adapter_2.12-4.2.1.pom
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2024.11.19 19:07:59 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.12/2.0.3/bloop-config_2.12-2.0.3.pom
2024.11.19 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2024.11.19 19:07:59 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2024.11.19 19:07:59 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
